filename,Artist,Title,genre
blues.00000.wav, John Lee Hooker," One Bourbon, One Scotch And One Beer",blues
blues.00001.wav, John Lee Hooker, I'm In The Mood For Love,blues
blues.00002.wav, John Lee Hooker, Think Twice Before You Go,blues
blues.00003.wav, John Lee Hooker, I'm Bad Like Jesse James,blues
blues.00004.wav, John Lee Hooker,N/A,blues
blues.00005.wav, John Lee Hooker, Sugar Mama,blues
blues.00006.wav, John Lee Hooker, Dreamin' Blues,blues
blues.00007.wav, John Lee Hooker, Ground Hog Blues,blues
blues.00008.wav, John Lee Hooker, Shake It Baby,blues
blues.00009.wav, John Lee Hooker, It's My Own Fault,blues
blues.00010.wav, John Lee Hooker, Lonely Boy Boogie,blues
blues.00011.wav, John Lee Hooker, It Serves Me Right To Suffer,blues
blues.00012.wav, Robert Johnson, Cross Road Blues,blues
blues.00013.wav, Robert Johnson, Terraplane Blues,blues
blues.00014.wav, Robert Johnson, Come On In My Kitchen,blues
blues.00015.wav, Robert Johnson, Walking blues,blues
blues.00016.wav, Robert Johnson, Last Fair Deal Gone Down,blues
blues.00017.wav, Robert Johnson, 32-20 Blues,blues
blues.00018.wav, Robert Johnson, Kind Hearted Woman Blues,blues
blues.00019.wav, Robert Johnson, If I Had Possession Over Judgement Day,blues
blues.00020.wav, Robert Johnson, Preachin' Blues,blues
blues.00021.wav, Robert Johnson, When You Got A Good Friend,blues
blues.00022.wav, Robert Johnson, Ramblin' On My Mind,blues
blues.00023.wav, Robert Johnson, Stones In My Passway,blues
blues.00024.wav, Robert Johnson, Traveling Riverside Blues,blues
blues.00025.wav, Robert Johnson, Milkcow's Calf Blues,blues
blues.00026.wav, Robert Johnson, Me And The Devil Blues,blues
blues.00027.wav, Robert Johnson, Hell Hound On My Trail,blues
blues.00028.wav, Robert Johnson, Traveling Riverside Blues,blues
blues.00029.wav, Kelly Joe Phelps, The House Carpenter,blues
blues.00030.wav, Kelly Joe Phelps, River Rat Jimmy,blues
blues.00031.wav, Kelly Joe Phelps, Hobo's Son,blues
blues.00032.wav, Kelly Joe Phelps, Katy,blues
blues.00033.wav, Kelly Joe Phelps, Wandering Away,blues
blues.00034.wav, Kelly Joe Phelps, Dock Boggs Country Blues,blues
blues.00035.wav, Kelly Joe Phelps, Capman Bootman,blues
blues.00036.wav, Kelly Joe Phelps, Train Carried My Girl From Town,blues
blues.00037.wav, Kelly Joe Phelps, Piece By Piece,blues
blues.00038.wav, Kelly Joe Phelps, Many A Time,blues
blues.00039.wav, Kelly Joe Phelps, Goodnight Irene,blues
blues.00040.wav, Stevie Ray Vaughan, Love Struck Baby,blues
blues.00041.wav, Stevie Ray Vaughan, Pride and Joy,blues
blues.00042.wav, Stevie Ray Vaughan, Texas Flood,blues
blues.00043.wav, Stevie Ray Vaughan, Tell Me,blues
blues.00044.wav, Stevie Ray Vaughan, Testify,blues
blues.00045.wav, Stevie Ray Vaughan, Rude Mood,blues
blues.00046.wav, Stevie Ray Vaughan, Mary Had A Little Lamb,blues
blues.00047.wav, Stevie Ray Vaughan, Dirty Pool,blues
blues.00048.wav, Stevie Ray Vaughan, I'm Cryin',blues
blues.00049.wav, Stevie Ray Vaughan, Lenny,blues
blues.00050.wav, Magic Slim & The Teardrops, What's Wrong,blues
blues.00051.wav, Magic Slim & The Teardrops, Snakebite,blues
blues.00052.wav, Magic Slim & The Teardrops, Please Don't Dog Me,blues
blues.00053.wav, Magic Slim & The Teardrops, Key To Your Door,blues
blues.00054.wav, Magic Slim & The Teardrops, Shake It,blues
blues.00055.wav, Magic Slim & The Teardrops, I Ain't Looking for No Love,blues
blues.00056.wav, Magic Slim & The Teardrops, Country Boy,blues
blues.00057.wav, Magic Slim & The Teardrops, Lump On Your Stump,blues
blues.00058.wav, Magic Slim & The Teardrops, Lonesome Trouble,blues
blues.00059.wav, Magic Slim & The Teardrops, The Man You Need,blues
blues.00060.wav, Magic Slim & The Teardrops, Mind Your Own Business,blues
blues.00061.wav, Clifton Chenier, Boppin' The Rock,blues
blues.00062.wav, Clifton Chenier, The Things I Did for You,blues
blues.00063.wav, Clifton Chenier, Yesterday (I Lost My Best Friend),blues
blues.00064.wav, Clifton Chenier, Clifton's Squeeze-box Boogie,blues
blues.00065.wav, Clifton Chenier, I'm On My Way (Back Home To You),blues
blues.00066.wav, Clifton Chenier, Ay-Te Te Fee,blues
blues.00067.wav, Clifton Chenier, All Night Long,blues
blues.00068.wav, Clifton Chenier, Opelousas Hop,blues
blues.00069.wav, Clifton Chenier," I'm On My Way, Part 2",blues
blues.00070.wav, Clifton Chenier, Think It Over,blues
blues.00071.wav, Clifton Chenier, Zodico Stomp,blues
blues.00072.wav, Clifton Chenier, The Cats Dreamin',blues
blues.00073.wav, Buckwheat Zydeco, Turning Point,blues
blues.00074.wav, Buckwheat Zydeco, Zydeco Boogaloo,blues
blues.00075.wav, Buckwheat Zydeco, Ya Ya,blues
blues.00076.wav, Buckwheat Zydeco, Buck's Nouvelle Jole Blon,blues
blues.00077.wav, Buckwheat Zydeco, On A Night Like This,blues
blues.00078.wav, Buckwheat Zydeco, Hot Tamale Baby,blues
blues.00079.wav, Buckwheat Zydeco, Ma Tit Fille,blues
blues.00080.wav, Buckwheat Zydeco, Hey Good Lookin',blues
blues.00081.wav, Buckwheat Zydeco, Buck's Hot Rod,blues
blues.00082.wav, Buckwheat Zydeco,N/A,blues
blues.00083.wav, Buckwheat Zydeco,N/A,blues
blues.00084.wav, Buckwheat Zydeco,N/A,blues
blues.00085.wav, Hot Toddy, Crow Jane,blues
blues.00086.wav, Hot Toddy, Cross Cut Saw,blues
blues.00087.wav, Hot Toddy, Right From The Start,blues
blues.00088.wav, Hot Toddy, She's My Girl,blues
blues.00089.wav, Hot Toddy, I Wish You Would,blues
blues.00090.wav, Hot Toddy, One More Night,blues
blues.00091.wav, Hot Toddy, Rescue Me,blues
blues.00092.wav, Hot Toddy, Neighbors Land,blues
blues.00093.wav, Hot Toddy, Mermaids Flirt With Me,blues
blues.00094.wav, Hot Toddy, My Babe,blues
blues.00095.wav, Hot Toddy, Down By The Riverside,blues
blues.00096.wav, Hot Toddy, Long Distance,blues
blues.00097.wav, Hot Toddy, T-Bone Shuffle,blues
blues.00098.wav, Albert Collins, Iceman,blues
blues.00099.wav, Albert Collins, Lights Are On But Nobody's Home,blues
classical.00000.wav, JS Bach," Concert for oboe, BWV 1053",classical
classical.00001.wav, JS Bach," Concert for oboe, BWV 1053",classical
classical.00002.wav, JS Bach," Concert for oboe, BWV 1053",classical
classical.00003.wav, JS Bach," Ich steh mit einem Fuss im Grabe, BWV 156 Sinfonia",classical
classical.00004.wav, JS Bach,N/A,classical
classical.00005.wav, JS Bach,N/A,classical
classical.00006.wav, JS Bach,N/A,classical
classical.00007.wav, JS Bach,N/A,classical
classical.00008.wav, JS Bach,N/A,classical
classical.00009.wav, JS Bach,N/A,classical
classical.00010.wav, JS Bach,N/A,classical
classical.00011.wav, Mozart," Symphony No.36 in C, K.425, ""Linz"", Adagio, Allegro spiritoso",classical
classical.00012.wav, Mozart," Symphony No.36 in C, K.425, ""Linz"", Andante",classical
classical.00013.wav, Mozart," Symphony No.36 in C, K.425, ""Linz"", Menuetto",classical
classical.00014.wav, Mozart," Symphony No.36 in C, K.425, ""Linz"", Finale (Presto)",classical
classical.00015.wav, Mozart," Symphony No.38 in D, K.504, ""Prague"", Adagio, Allegro",classical
classical.00016.wav, Mozart," Symphony No.38 in D, K.504, ""Prague"", Andante",classical
classical.00017.wav, Mozart," Symphony No.38 in D, K.504, ""Prague"", Finale (Presto)",classical
classical.00018.wav, Mozart," Symphony No.39 in E flat, K.543, Adagio, Allegro",classical
classical.00019.wav, Mozart," Symphony No.39 in E flat, K.543, Andante con moto",classical
classical.00020.wav, Mozart," Symphony No.39 in E flat, K.543, Menuetto (Allegretto)",classical
classical.00021.wav, Mozart," Symphony No.39 in E flat, K.543, Finale (Allegro)",classical
classical.00022.wav, Mozart," Symphony No.40 in G minor, K.550, Molto allegro",classical
classical.00023.wav, Mozart," Symphony No.40 in G minor, K.550, Andante",classical
classical.00024.wav, Mozart," Symphony No.40 in G minor, K.550, Menuetto (Allegretto)",classical
classical.00025.wav, Mozart," Symphony No.40 in G minor, K.550, Finale (Allegro assai)",classical
classical.00026.wav, Mozart," Symphony No.41 in C, K.551, ""Jupiter"", Allegro vivace",classical
classical.00027.wav, Mozart," Symphony No.41 in C, K.551, ""Jupiter"", Andante cantabile",classical
classical.00028.wav, Mozart," Symphony No.41 in C, K.551, ""Jupiter"", Menuetto (Allegretto)",classical
classical.00029.wav, Mozart," Symphony No.41 in C, K.551, ""Jupiter"", Molto allegro",classical
classical.00030.wav, Claude Debussy," Quartet in G minor for Strings, Op. 10, Anime et tres decide",classical
classical.00031.wav, Claude Debussy," Quartet in G minor for Strings, Op. 10, Assez vif et bien rythme",classical
classical.00032.wav, Claude Debussy," Quartet in G minor for Strings, Op. 10, Andantino, doucement expressif",classical
classical.00033.wav, Claude Debussy," Quartet in G minor for Strings, Op. 10, Tres modere, Tres mouvemente et avec passion, Tres anime, Tres vii",classical
classical.00034.wav, Maurice Ravel," Quartet in F Major for Strings, Allegro moderato. Tres doux",classical
classical.00035.wav, Maurice Ravel," Quartet in F Major for Strings, Assez vif - Tres rythme",classical
classical.00036.wav, Maurice Ravel," Quartet in F Major for Strings, Tres lent",classical
classical.00037.wav, Maurice Ravel," Quartet in F Major for Strings, Vif et agite",classical
classical.00038.wav, Henri Dutilleux, Ainsi la nuit for String Quartet: I. Nocturne,classical
classical.00039.wav, Henri Dutilleux, Ainsi la nuit for String Quartet: II. Miroir d'espace,classical
